city,MAE,RMSE,R2,n,horizon
Ahmedabad,26.7450008392334,43.220001220703125,0.903,4130.0,t+1h
Aizawl,5.64900016784668,7.010000228881836,0.88,2441.0,t+1h
Amaravati,5.960999965667725,7.443999767303467,0.913,4130.0,t+1h
Amritsar,6.794000148773193,15.793999671936035,0.87,4130.0,t+1h
Bengaluru,2.821000099182129,3.5490000247955322,0.968,4130.0,t+1h
Bhopal,3.4600000381469727,5.145999908447266,0.98,4130.0,t+1h
Brajrajnagar,9.840999603271484,15.920999526977539,0.915,4130.0,t+1h
Chandigarh,8.12399959564209,11.350000381469727,0.818,4130.0,t+1h
Chennai,4.0970001220703125,6.083000183105469,0.939,4130.0,t+1h
Coimbatore,3.7860000133514404,5.559000015258789,0.938,4130.0,t+1h
Delhi,6.683000087738037,10.138999938964844,0.985,4130.0,t+1h
Ernakulam,4.848999977111816,8.04800033569336,0.81,3613.0,t+1h
Gurugram,5.960999965667725,9.032999992370605,0.974,4130.0,t+1h
Guwahati,11.769000053405762,17.030000686645508,0.979,4130.0,t+1h
Hyderabad,3.6559998989105225,4.314000129699707,0.974,4130.0,t+1h
Jaipur,3.6510000228881836,4.635000228881836,0.966,4130.0,t+1h
Jorapokhar,5.8420000076293945,8.765999794006348,0.952,4130.0,t+1h
Kochi,7.670000076293945,10.694000244140625,0.9,3615.0,t+1h
Kolkata,7.855000019073486,13.875,0.966,4130.0,t+1h
Lucknow,8.696999549865723,12.029999732971191,0.977,4130.0,t+1h
Mumbai,5.184999942779541,8.531000137329102,0.971,4130.0,t+1h
Patna,6.563000202178955,9.430000305175781,0.979,4130.0,t+1h
Shillong,38.85900115966797,117.7750015258789,-12.324,4130.0,t+1h
Talcher,9.206000328063965,13.5,0.976,4130.0,t+1h
Thiruvananthapuram,3.624000072479248,6.2829999923706055,0.909,4130.0,t+1h
Visakhapatnam,5.439000129699707,8.095999717712402,0.959,4130.0,t+1h
Ahmedabad,54.69599914550781,83.99400329589844,0.633,4130.0,t+24h
Aizawl,12.519000053405762,14.5649995803833,0.482,2441.0,t+24h
Amaravati,12.321999549865723,17.083999633789062,0.534,4130.0,t+24h
Amritsar,20.89699935913086,38.00699996948242,0.241,4130.0,t+24h
Bengaluru,7.703999996185303,10.506999969482422,0.72,4130.0,t+24h
Bhopal,13.23799991607666,19.10700035095215,0.721,4130.0,t+24h
Brajrajnagar,31.3439998626709,42.492000579833984,0.399,4130.0,t+24h
Chandigarh,19.56399917602539,26.13599967956543,0.03,4130.0,t+24h
Chennai,10.769000053405762,16.92099952697754,0.526,4130.0,t+24h
Coimbatore,10.470000267028809,14.795000076293945,0.566,4130.0,t+24h
Delhi,28.58799934387207,38.49100112915039,0.776,4130.0,t+24h
Ernakulam,15.687999725341797,22.9950008392334,-0.554,3613.0,t+24h
Gurugram,25.409000396728516,34.92399978637695,0.611,4130.0,t+24h
Guwahati,34.090999603271484,47.92599868774414,0.829,4130.0,t+24h
Hyderabad,9.961999893188477,12.842000007629395,0.767,4130.0,t+24h
Jaipur,12.994999885559082,18.17300033569336,0.483,4130.0,t+24h
Jorapokhar,20.829999923706055,29.341999053955078,0.454,4130.0,t+24h
Kochi,16.31999969482422,24.433000564575195,0.471,3615.0,t+24h
Kolkata,20.503999710083008,31.60099983215332,0.822,4130.0,t+24h
Lucknow,36.21500015258789,44.57400131225586,0.672,4130.0,t+24h
Mumbai,14.633000373840332,22.32200050354004,0.8,4130.0,t+24h
Patna,23.38599967956543,32.073001861572266,0.741,4130.0,t+24h
Shillong,45.07099914550781,120.60399627685547,-12.97,4130.0,t+24h
Talcher,27.32200050354004,38.527000427246094,0.802,4130.0,t+24h
Thiruvananthapuram,8.6899995803833,15.64799976348877,0.437,4130.0,t+24h
Visakhapatnam,17.709999084472656,24.95800018310547,0.607,4130.0,t+24h
Ahmedabad,72.96299743652344,104.60399627685547,0.434,4130.0,t+72h
Aizawl,28.562000274658203,31.187999725341797,-1.495,2441.0,t+72h
Amaravati,19.64900016784668,27.589000701904297,-0.222,4130.0,t+72h
Amritsar,31.465999603271484,50.12300109863281,-0.316,4130.0,t+72h
Bengaluru,12.133000373840332,16.486000061035156,0.31,4130.0,t+72h
Bhopal,22.573999404907227,32.448001861572266,0.198,4130.0,t+72h
