city,MAE,RMSE,R2,n,horizon
Ahmedabad,31.510000228881836,45.62799835205078,0.891,4130.0,t+1h
Aizawl,30.933000564575195,33.356998443603516,-1.709,2441.0,t+1h
Amaravati,5.915999889373779,7.955999851226807,0.901,4130.0,t+1h
Amritsar,8.9350004196167,18.551000595092773,0.82,4130.0,t+1h
Bengaluru,3.0420000553131104,3.86299991607666,0.962,4130.0,t+1h
Bhopal,5.014999866485596,8.307000160217285,0.947,4130.0,t+1h
Brajrajnagar,10.74899959564209,14.696000099182129,0.927,4130.0,t+1h
Chandigarh,7.380000114440918,10.380999565124512,0.847,4130.0,t+1h
Chennai,6.684999942779541,9.218000411987305,0.859,4130.0,t+1h
Coimbatore,6.000999927520752,7.9029998779296875,0.875,4130.0,t+1h
Delhi,12.532999992370605,19.167999267578125,0.945,4130.0,t+1h
Ernakulam,10.822999954223633,16.597999572753906,0.191,3613.0,t+1h
Gurugram,11.71399974822998,17.8799991607666,0.898,4130.0,t+1h
Guwahati,15.125,24.82900047302246,0.954,4130.0,t+1h
Hyderabad,4.578999996185303,5.765999794006348,0.953,4130.0,t+1h
Jaipur,4.48199987411499,5.99399995803833,0.943,4130.0,t+1h
Jorapokhar,9.392000198364258,12.194999694824219,0.907,4130.0,t+1h
Kochi,8.42300033569336,11.508000373840332,0.884,3615.0,t+1h
Kolkata,8.331000328063965,14.097000122070312,0.965,4130.0,t+1h
Lucknow,12.14900016784668,17.447999954223633,0.951,4130.0,t+1h
Mumbai,7.0980000495910645,9.390999794006348,0.965,4130.0,t+1h
Patna,12.142000198364258,16.344999313354492,0.935,4130.0,t+1h
Shillong,10.194000244140625,14.26099967956543,0.805,4130.0,t+1h
Talcher,10.998000144958496,15.694999694824219,0.968,4130.0,t+1h
Thiruvananthapuram,4.7179999351501465,6.218999862670898,0.911,4130.0,t+1h
Visakhapatnam,5.985000133514404,9.12600040435791,0.947,4130.0,t+1h
Ahmedabad,59.85200119018555,85.86799621582031,0.617,4130.0,t+24h
Aizawl,45.24599838256836,48.43899917602539,-4.732,2441.0,t+24h
Amaravati,15.692000389099121,20.96299934387207,0.298,4130.0,t+24h
Amritsar,22.804000854492188,38.26599884033203,0.231,4130.0,t+24h
Bengaluru,7.672999858856201,10.279999732971191,0.732,4130.0,t+24h
Bhopal,13.99899959564209,20.378999710083008,0.683,4130.0,t+24h
Brajrajnagar,29.80900001525879,39.49100112915039,0.481,4130.0,t+24h
Chandigarh,14.83899974822998,19.475000381469727,0.461,4130.0,t+24h
Chennai,13.267000198364258,19.92799949645996,0.342,4130.0,t+24h
Coimbatore,12.777000427246094,16.881000518798828,0.436,4130.0,t+24h
Delhi,34.266998291015625,45.49100112915039,0.687,4130.0,t+24h
Ernakulam,25.554000854492188,34.31100082397461,-2.461,3613.0,t+24h
Gurugram,30.003999710083008,41.790000915527344,0.443,4130.0,t+24h
Guwahati,35.025001525878906,49.042999267578125,0.821,4130.0,t+24h
Hyderabad,12.031000137329102,15.303000450134277,0.67,4130.0,t+24h
Jaipur,14.925000190734863,20.7810001373291,0.324,4130.0,t+24h
Jorapokhar,22.17099952697754,28.826000213623047,0.473,4130.0,t+24h
Kochi,18.351999282836914,26.128000259399414,0.395,3615.0,t+24h
Kolkata,22.115999221801758,33.13600158691406,0.804,4130.0,t+24h
Lucknow,34.02399826049805,44.909000396728516,0.667,4130.0,t+24h
Mumbai,19.763999938964844,26.224000930786133,0.723,4130.0,t+24h
Patna,32.57699966430664,41.79899978637695,0.56,4130.0,t+24h
Shillong,18.371999740600586,26.118000030517578,0.345,4130.0,t+24h
Talcher,28.263999938964844,39.18199920654297,0.795,4130.0,t+24h
Thiruvananthapuram,9.515000343322754,15.225000381469727,0.467,4130.0,t+24h
Visakhapatnam,18.687000274658203,25.322999954223633,0.596,4130.0,t+24h
Ahmedabad,82.66699981689453,110.25499725341797,0.371,4130.0,t+72h
Aizawl,66.59300231933594,71.88200378417969,-12.252,2441.0,t+72h
Amaravati,26.96299934387207,35.84400177001953,-1.063,4130.0,t+72h
Amritsar,34.310001373291016,51.060001373291016,-0.365,4130.0,t+72h
Bengaluru,11.472000122070312,15.694000244140625,0.375,4130.0,t+72h
Bhopal,21.142000198364258,28.820999145507812,0.368,4130.0,t+72h
Brajrajnagar,49.28900146484375,65.48899841308594,-0.395,4130.0,t+72h
Chandigarh,25.38599967956543,31.98699951171875,-0.458,4130.0,t+72h
Chennai,19.007999420166016,27.913999557495117,-0.276,4130.0,t+72h
Coimbatore,22.604000091552734,29.392000198364258,-0.683,4130.0,t+72h
Delhi,60.67499923706055,77.82599639892578,0.08,4130.0,t+72h
Ernakulam,42.41400146484375,56.73500061035156,-8.291,3613.0,t+72h
Gurugram,46.22700119018555,64.30799865722656,-0.319,4130.0,t+72h
Guwahati,52.06700134277344,71.65299987792969,0.613,4130.0,t+72h
Hyderabad,22.482999801635742,27.90399932861328,-0.1,4130.0,t+72h
Jaipur,25.08099937438965,33.02799987792969,-0.688,4130.0,t+72h
Jorapokhar,29.788000106811523,38.39699935913086,0.028,4130.0,t+72h
Kochi,29.22599983215332,41.334999084472656,-0.611,3615.0,t+72h
Kolkata,37.0369987487793,53.805999755859375,0.482,4130.0,t+72h
Lucknow,53.422000885009766,72.18199920654297,0.138,4130.0,t+72h
Mumbai,33.64099884033203,44.78900146484375,0.198,4130.0,t+72h
Patna,52.12300109863281,67.2020034790039,-0.159,4130.0,t+72h
Shillong,32.2239990234375,42.297000885009766,-0.739,4130.0,t+72h
Talcher,45.617000579833984,62.250999450683594,0.47,4130.0,t+72h
Thiruvananthapuram,14.640000343322754,21.649999618530273,-0.066,4130.0,t+72h
Visakhapatnam,28.63599967956543,37.78200149536133,0.084,4130.0,t+72h
