city,MAE,RMSE,R2,n,horizon
Ahmedabad,46.22800064086914,74.37200164794922,0.711,4130.0,t+1h
Aizawl,77.87899780273438,81.5,-15.172,2441.0,t+1h
Amaravati,17.841999053955078,20.746999740600586,0.326,4130.0,t+1h
Amritsar,23.812999725341797,32.3380012512207,0.454,4130.0,t+1h
Bengaluru,10.449000358581543,12.934000015258789,0.574,4130.0,t+1h
Bhopal,13.593999862670898,17.863000869750977,0.755,4130.0,t+1h
Brajrajnagar,26.292999267578125,35.50699996948242,0.575,4130.0,t+1h
Chandigarh,33.22200012207031,37.58399963378906,-0.999,4130.0,t+1h
Chennai,24.636999130249023,27.003999710083008,-0.211,4130.0,t+1h
Coimbatore,9.960000038146973,12.692999839782715,0.678,4130.0,t+1h
Delhi,29.27199935913086,43.72700119018555,0.713,4130.0,t+1h
Ernakulam,18.152999877929688,21.85300064086914,-0.403,3613.0,t+1h
Gurugram,27.659000396728516,39.01100158691406,0.516,4130.0,t+1h
Guwahati,29.531999588012695,38.03799819946289,0.893,4130.0,t+1h
Hyderabad,15.812000274658203,19.05500030517578,0.485,4130.0,t+1h
Jaipur,12.78499984741211,15.517000198364258,0.62,4130.0,t+1h
Jorapokhar,26.55500030517578,30.981000900268555,0.398,4130.0,t+1h
Kochi,25.386999130249023,29.25,0.252,3615.0,t+1h
Kolkata,21.48900032043457,27.660999298095703,0.866,4130.0,t+1h
Lucknow,25.68899917602539,35.52899932861328,0.797,4130.0,t+1h
Mumbai,19.295000076293945,23.225000381469727,0.785,4130.0,t+1h
Patna,25.17799949645996,32.944000244140625,0.738,4130.0,t+1h
Shillong,73.08799743652344,124.24400329589844,-13.828,4130.0,t+1h
Talcher,22.17099952697754,29.781999588012695,0.885,4130.0,t+1h
Thiruvananthapuram,18.035999298095703,19.805999755859375,0.093,4130.0,t+1h
Visakhapatnam,19.091999053955078,23.788000106811523,0.643,4130.0,t+1h
Ahmedabad,61.20199966430664,95.96399688720703,0.521,4130.0,t+24h
Aizawl,70.30999755859375,73.30000305175781,-12.125,2441.0,t+24h
Amaravati,21.80699920654297,25.288999557495117,-0.022,4130.0,t+24h
Amritsar,29.283000946044922,42.97700119018555,0.03,4130.0,t+24h
Bengaluru,13.57800006866455,16.597000122070312,0.302,4130.0,t+24h
Bhopal,17.85099983215332,24.250999450683594,0.551,4130.0,t+24h
Brajrajnagar,35.6619987487793,46.73699951171875,0.273,4130.0,t+24h
Chandigarh,33.4379997253418,38.277000427246094,-1.081,4130.0,t+24h
Chennai,27.336999893188477,31.22800064086914,-0.616,4130.0,t+24h
Coimbatore,13.253000259399414,17.26799964904785,0.409,4130.0,t+24h
Delhi,38.2869987487793,55.895999908447266,0.527,4130.0,t+24h
Ernakulam,20.152999877929688,24.2450008392334,-0.728,3613.0,t+24h
Gurugram,35.85200119018555,51.94300079345703,0.139,4130.0,t+24h
Guwahati,38.50199890136719,51.762001037597656,0.801,4130.0,t+24h
Hyderabad,19.393999099731445,23.381999969482422,0.229,4130.0,t+24h
Jaipur,18.444000244140625,23.034000396728516,0.169,4130.0,t+24h
Jorapokhar,31.44300079345703,38.47700119018555,0.062,4130.0,t+24h
Kochi,28.81999969482422,35.18299865722656,-0.097,3615.0,t+24h
Kolkata,28.072999954223633,37.04800033569336,0.756,4130.0,t+24h
Lucknow,37.24700164794922,49.323001861572266,0.598,4130.0,t+24h
Mumbai,25.4689998626709,31.958999633789062,0.589,4130.0,t+24h
Patna,33.68899917602539,43.16299819946289,0.531,4130.0,t+24h
Shillong,68.81700134277344,114.91400146484375,-11.683,4130.0,t+24h
Talcher,31.820999145507812,43.26900100708008,0.75,4130.0,t+24h
Thiruvananthapuram,19.19099998474121,22.781999588012695,-0.192,4130.0,t+24h
Visakhapatnam,25.211000442504883,32.08700180053711,0.351,4130.0,t+24h
Ahmedabad,74.37100219726562,108.48400115966797,0.391,4130.0,t+72h
Aizawl,66.04100036621094,68.2030029296875,-10.931,2441.0,t+72h
Amaravati,26.645999908447266,30.535999298095703,-0.497,4130.0,t+72h
Amritsar,33.22999954223633,48.39099884033203,-0.226,4130.0,t+72h
Bengaluru,18.017000198364258,21.180999755859375,-0.139,4130.0,t+72h
Bhopal,21.910999298095703,29.454999923706055,0.339,4130.0,t+72h
